Hour,Load,System Inflow,Generation,Load Shed,Cost,Emissions,Infeasible
1,7761.357205116245,2430.76,5330.597205115804,0.0,85475.83885535275,1447663.2840888607,
2,7237.056519255575,2430.76,4806.296519255133,0.0,68392.42587299267,1062449.0697807411,
3,6978.224010941669,2430.76,4547.464010941227,0.0,59958.82517012869,872279.6421671415,
4,6842.058214912915,2430.76,4411.298214912473,0.0,55522.10290299595,772235.9047710111,
5,6750.44250085548,2430.76,4319.682500855422,0.0,52536.966470442436,704924.0048237022,
6,6740.509701122359,2430.76,4309.749701114564,1.927907708673434e-09,52213.32371449009,697626.1779318576,
7,6855.515890424177,2430.76,4424.755890279886,1.2878751576295144e-07,55960.59751578278,782123.5283691636,
8,7082.262194701808,2430.76,4651.5021947013665,0.0,63348.725864596665,948718.5793953411,
9,7363.23775526078,2430.76,4932.477755260339,0.0,72503.81886452199,1155156.9509622848,
10,7530.573598185238,2430.76,5099.813598184179,0.0,77956.16212565522,1278101.946068246,
11,7670.140045295107,2430.76,5239.380045294663,0.0,82503.68860965084,1380644.2099210727,
12,7857.998843374234,2430.76,5427.23884336652,1.929065308660435e-09,88624.73616392314,1518667.8312033874,
13,8095.159318085965,2430.76,5664.399318085523,0.0,96352.19187954377,1692914.381693168,
14,8337.863319902526,2430.76,5907.1033198948135,1.929370700236856e-09,104260.27365066098,1871233.8725710055,
15,8608.740447799013,2430.76,6177.98044779129,1.924567319207837e-09,115733.94408215291,2091824.1431647765,
16,8856.672238948795,2430.76,6425.912238947996,6.87947476762929e-10,128470.55413294568,2379022.212931832,
17,9165.696700890663,2430.76,6722.891586503636,12.045114387187667,140938.49021438122,2650687.5147360675,
18,9522.138764893558,2430.76,7043.956123572808,47.42264131534338,148529.93258896406,2821867.0976842,
19,9821.02856196964,2430.76,7290.926303959754,99.3422580048728,154419.93223160063,2954680.815115584,
20,9907.61835182652,2430.76,7360.086893237727,116.77145858378351,156062.93132687267,2991728.8339305418,
21,9756.431719515582,2430.76,7239.331818085576,86.33990142499363,153194.23860323094,2927042.625456268,
22,9522.190525183985,2430.76,7044.0027465597195,47.42777861885909,148531.05485397976,2821892.4036600436,
23,9112.331841459467,2430.76,6674.82328699818,6.748554463940142,139985.5933663757,2629200.625026848,
24,8432.351730078713,2430.76,6001.591730077284,0.0,107339.01181677122,1940656.3998873713,
